Recorder,Recordee,Contact Time,Start,End,Order,ICT
1,16,1,91679,91679,9,8372
1,16,1,92141,92141,10,462
1,16,1,105712,105712,11,13571
1,16,1,181152,181152,12,75440
1,16,483,181872,182354,13,720
1,16,114,183576,183689,14,1222
1,16,236,184888,185123,15,1199
1,16,230,185262,185491,16,139
1,16,249,186100,186348,17,609
1,16,1,255978,255978,18,69630
1,16,1,257053,257053,19,1075
1,16,1,257531,257531,20,478
1,16,1,257879,257879,21,348
1,16,240,258360,258599,22,481
1,16,230,267041,267270,23,8442
1,17,1,22387,22387,1,0
1,17,1,22628,22628,2,241
1,17,1165,73291,74455,3,50663
1,17,127,74688,74814,4,233
1,17,457,75166,75622,5,352
1,17,1,75883,75883,6,261
1,17,232,76257,76488,7,374
1,17,8,76975,76982,8,487
1,17,365,77338,77702,9,356
1,17,5,78210,78214,10,508
1,17,1,78706,78706,11,492
1,17,1,79082,79082,12,376
1,17,246,80249,80494,13,1167
1,17,1,81104,81104,14,610
1,17,1,88676,88676,15,7572
1,17,1,89038,89038,16,362
1,17,1,89502,89502,17,464
1,17,1,89857,89857,18,355
1,17,1,97353,97353,19,7496
1,17,131,163454,163584,20,66101
1,17,1,163929,163929,21,345
1,17,114,164794,164907,22,865
1,17,1,177850,177850,23,12943
1,17,858,178093,178950,24,243
1,17,1,179201,179201,25,251
1,17,1,181636,181636,26,2435
1,17,121,253209,253329,27,71573
1,17,354,267041,267394,28,13712
1,17,248,267634,267881,29,240
1,18,1,156475,156475,1,0
1,18,113,176091,176203,2,19616
1,18,1,258360,258360,3,82157
1,19,1,21913,21913,1,0
1,19,1,22145,22145,2,232
1,19,127,22628,22754,3,483
1,19,372,74685,75056,4,51931
1,19,1,76010,76010,5,954
1,19,1,76725,76725,6,715
1,19,133,77953,78085,7,1228
1,19,1,78575,78575,8,490
1,19,1,79208,79208,9,633
1,19,1,80230,80230,10,1022
1,19,1,80249,80249,11,19
1,19,362,80624,80985,12,375
1,19,1,81124,81124,13,139
1,19,1,90198,90198,14,9074
1,19,943,101750,102692,15,11552
1,19,1,103195,103195,16,503
1,19,124,103791,103914,17,596
1,19,1,104286,104286,18,372
1,19,486,104768,105253,19,482
1,19,1,105599,105599,20,346
1,19,1,106188,106188,21,589
1,19,1,106797,106797,22,609
1,19,562,107273,107834,23,476
1,19,1,108202,108202,24,368
1,19,1908,160806,162713,25,52604
1,19,118,179436,179553,26,16723
1,19,373,179686,180058,27,133
1,19,1,267270,267270,28,87212
1,19,1,267630,267630,29,360
1,19,128,267879,268006,30,249
1,20,1,21913,21913,1,0
1,20,8,82911,82918,2,60998
1,20,1232,177850,179081,3,94932
1,20,1,184638,184638,4,5557
1,20,1,185262,185262,5,624
1,20,1,185615,185615,6,353
1,20,1,185971,185971,7,356
1,20,369,186341,186709,8,370
1,20,253,187070,187322,9,361
1,20,582,187685,188266,10,363
1,20,1,188397,188397,11,131
1,20,620,188896,189515,12,499
1,20,1,256333,256333,13,66818
1,21,1,22750,22750,1,0
1,21,1,165276,165276,2,142526
1,21,135,180411,180545,3,15135
1,21,1,181511,181511,4,966
1,21,1,190952,190952,5,9441
1,21,1,191918,191918,6,966
1,21,1,250222,250222,7,58304
1,21,1,256456,256456,8,6234
1,22,6,22024,22029,1,0
1,22,1,22496,22496,2,467
1,22,1,22754,22754,3,258
1,22,1,81485,81485,4,58731
1,22,127,81824,81950,5,339
1,22,1,92029,92029,6,10079
1,22,1,97353,97353,7,5324
1,22,1,159153,159153,8,61800
1,22,115,159633,159747,9,480
1,22,1,160221,160221,10,474
1,22,1,161174,161174,11,953
1,22,1,161885,161885,12,711
1,22,1,162713,162713,13,828
1,22,1,164794,164794,14,2081
1,22,1,176203,176203,15,11409
1,22,492,179436,179927,16,3233
1,22,376,180411,180786,17,484
1,22,123,181152,181274,18,366
1,22,490,181872,182361,19,598
1,22,1,252598,252598,20,70237
1,22,1,256931,256931,21,4333
1,23,139,82314,82452,1,0
1,23,1,87648,87648,2,5196
1,23,234,160573,160806,3,72925
1,24,1,22029,22029,1,0
1,24,1,44929,44929,2,22900
1,24,1,51424,51424,3,6495
1,24,1,61387,61387,4,9963
1,24,1,65084,65084,5,3697
1,24,241,73044,73284,6,7960
1,24,224,73871,74094,7,587
1,24,231,74455,74685,8,361
1,24,1,75761,75761,9,1076
1,24,1,76605,76605,10,844
1,24,1,77099,77099,11,494
1,24,1,77456,77456,12,357
1,24,1,77575,77575,13,119
1,24,6,78449,78454,14,874
1,24,344,79542,79885,15,1088
1,24,1,80242,80242,16,357
1,24,1,80733,80733,17,491
1,24,112,81485,81596,18,752
1,24,1,82683,82683,19,1087
1,24,229,88562,88790,20,5879
1,24,1,89857,89857,21,1067
1,24,1,90330,90330,22,473
1,24,1,90463,90463,23,133
1,24,1,106195,106195,24,15732
1,24,1,106552,106552,25,357
1,24,484,108804,109287,26,2252
1,24,1,156609,156609,27,47322
1,24,1,157821,157821,28,1212
1,24,1542,160458,161999,29,2637
1,24,359,162355,162713,30,356
1,24,1,164426,164426,31,1713
1,24,1,165153,165153,32,727
1,24,1,227597,227597,33,62444
1,24,1,231561,231561,34,3964
1,24,1,234977,234977,35,3416
1,24,1,235477,235477,36,500
1,24,129,255217,255345,37,19740
1,24,470,255864,256333,38,519
1,24,1,257531,257531,39,1198
1,24,1,257879,257879,40,348
1,24,1,258113,258113,41,234
1,24,1,258832,258832,42,719
1,25,1,22268,22268,1,0
1,25,1,22504,22504,2,236
1,25,1,81596,81596,3,59092
1,25,1,88562,88562,4,6966
1,25,1,177599,177599,5,89037
1,25,1208,187445,188652,6,9846
1,25,1,188896,188896,7,244
1,25,1,189265,189265,8,369
1,25,1,189515,189515,9,250
1,25,943,250829,251771,10,61314
1,25,1,252243,252243,11,472
1,25,1,257414,257414,12,5171
1,26,1,21796,21796,1,0
1,26,364,22387,22750,2,591
1,26,118,76978,77095,3,54228
1,26,1,79322,79322,4,2227
1,26,1,165276,165276,5,85954
1,26,1,257414,257414,6,92138
1,26,1,257879,257879,7,465
1,26,1,258236,258236,8,357
1,26,1,267041,267041,9,8805
1,26,488,267394,267881,10,353
1,26,1,268238,268238,11,357
1,27,1,73983,73983,1,0
1,27,1,74685,74685,2,702
1,27,1,74932,74932,3,247
1,27,1,81708,81708,4,6776
1,27,1,82193,82193,5,485
1,27,1,82452,82452,6,259
1,27,119,89275,89393,7,6823
1,27,1,98631,98631,8,9238
1,27,466,98996,99461,9,365
1,27,1,103675,103675,10,4214
1,27,362,104042,104403,11,367
1,27,1,105479,105479,12,1076
1,27,1,165276,165276,13,59797
1,27,1,175855,175855,14,10579
1,27,362,180913,181274,15,5058
1,27,1,181872,181872,16,598
1,27,1,182114,182114,17,242
1,27,1,182361,182361,18,247
1,27,239,187322,187560,19,4961
1,27,394,188266,188659,20,706
1,27,245,189021,189265,21,362
1,27,355,249868,250222,22,60603
1,27,1103,261138,262240,23,10916
1,27,1070,265636,266705,24,3396
1,27,1,268235,268235,25,1530
1,28,1,74688,74688,1,0
1,28,118,76488,76605,2,1800
1,28,1,76978,76978,3,373
1,28,1,79653,79653,4,2675
1,28,1,82328,82328,5,2675
1,28,110,89393,89502,6,7065
1,28,1,266584,266584,7,177082
1,29,110,21578,21687,1,0
1,29,1,22501,22501,2,814
1,29,8,34459,34466,3,11958
1,29,1,40295,40295,4,5829
1,29,111,40905,41015,5,610
1,29,852,43226,44077,6,2211
1,29,1,44316,44316,7,239
1,29,7236,44807,52042,8,491
1,29,3053,52167,55219,9,125
1,29,4453,55589,60041,10,370
1,29,496,60407,60902,11,366
1,29,3935,61150,65084,12,248
1,29,2806,65433,68238,13,349
1,29,1483,68579,70061,14,341
1,29,1,74575,74575,15,4514
1,29,1,77095,77095,16,2520
1,29,1,77573,77573,17,478
1,29,1,77707,77707,18,134
1,29,1,79432,79432,19,1725
1,29,1,81117,81117,20,1685
1,29,226,88451,88676,21,7334
1,29,15,98610,98624,22,9934
1,29,1,106314,106314,23,7690
1,29,124,106916,107039,24,602
1,29,1,107383,107383,25,344
1,29,1,107725,107725,26,342
1,29,1437,117047,118483,27,9322
1,29,977,131629,132605,28,13146
1,29,728,133202,133929,29,597
1,29,118,134181,134298,30,252
1,29,475,134776,135250,31,478
1,29,1286,135603,136888,32,353
1,29,850,137246,138095,33,358
1,29,1,138442,138442,34,347
1,29,1,138804,138804,35,362
1,29,347,139275,139621,36,471
1,29,497,139988,140484,37,367
1,29,248,140828,141075,38,344
1,29,237,141422,141658,39,347
1,29,1572,142034,143605,40,376
1,29,8,143963,143970,41,358
1,29,386,144095,144480,42,125
1,29,1477,144620,146096,43,140
1,29,237,146565,146801,44,469
1,29,230,147045,147274,45,244
1,29,1801,147636,149436,46,362
1,29,493,149685,150177,47,249
1,29,1035,150538,151572,48,361
1,29,620,152057,152676,49,485
1,29,2967,152919,155885,50,243
1,29,1,156232,156232,51,347
1,29,1,181872,181872,52,25640
1,29,1,208676,208676,53,26804
1,29,1,209400,209400,54,724
1,29,127,209887,210013,55,487
1,29,1,210147,210147,56,134
1,29,1,210391,210391,57,244
1,29,1191,211943,213133,58,1552
1,29,819,213258,214076,59,125
1,29,472,214450,214921,60,374
1,29,1337,215273,216609,61,352
1,29,1,217301,217301,62,692
1,29,350,217783,218132,63,482
1,29,127,219188,219314,64,1056
1,29,1,219453,219453,65,139
1,29,1411,220196,221606,66,743
1,29,1,221844,221844,67,238
1,29,348,222215,222562,68,371
1,29,382,222919,223300,69,357
1,29,8,223905,223912,70,605
1,29,859,224413,225271,71,501
1,29,1,225626,225626,72,355
1,29,1,225997,225997,73,371
1,29,1,226241,226241,74,244
1,29,1,226627,226627,75,386
1,29,1,226995,226995,76,368
1,29,379,227346,227724,77,351
1,29,1,228103,228103,78,379
1,29,1,228435,228435,79,332
1,29,8,229960,229967,80,1525
1,29,114,230090,230203,81,123
1,29,375,230573,230947,82,370
1,29,395,232054,232448,83,1107
1,29,367,233412,233778,84,964
1,29,1,234728,234728,85,950
1,29,1,234977,234977,86,249
1,29,1,236184,236184,87,1207
1,29,263,236524,236786,88,340
1,29,497,237982,238478,89,1196
1,29,478,239076,239553,90,598
1,29,1,250586,250586,91,11033
1,30,1,21687,21687,1,0
1,30,615,84858,85472,2,63171
1,30,1,102813,102813,3,17341
1,30,229,250829,251057,4,148016
1,30,1,251427,251427,5,370
1,30,952,251890,252841,6,463
1,30,1,268006,268006,7,15165
1,31,119,267041,267159,1,0
1,32,707,89038,89744,1,0
1,32,1,90086,90086,2,342
1,32,1,92731,92731,3,2645
1,32,744,93089,93832,4,358
1,32,1352,177850,179201,5,84018
1,32,1,190594,190594,6,11393
1,32,1448,252243,253690,7,61649
1,32,121,261280,261400,8,7590
1,32,826,261642,262467,9,242
1,33,118,76982,77099,1,0
1,33,1,77953,77953,2,854
1,33,1,80235,80235,3,2282
1,33,1,81104,81104,4,869
1,33,1,88451,88451,5,7347
1,33,1,163095,163095,6,74644
1,33,1,163333,163333,7,238
1,33,479,163577,164055,8,244
1,33,845,164184,165028,9,129
1,34,223,21574,21796,1,0
1,34,606,22145,22750,2,349
1,34,1301,23626,24926,3,876
1,34,722,25184,25905,4,258
1,34,1,26636,26636,5,731
1,34,1,27004,27004,6,368
1,34,509,27343,27851,7,339
1,34,885,28096,28980,8,245
1,34,3826,29331,33156,9,351
1,34,116,83796,83911,10,50640
1,34,8,84614,84621,11,703
1,34,234,87529,87762,12,2908
1,34,1,91438,91438,13,3676
1,34,483,93707,94189,14,2269
1,34,125,106071,106195,15,11882
1,34,243,106674,106916,16,479
1,34,922,107157,108078,17,241
1,34,1,165276,165276,18,57198
1,34,365,181636,182000,19,16360
1,34,583,254642,255224,20,72642
1,34,259,255484,255742,21,260
1,35,1,21913,21913,1,0
1,35,352,22145,22496,2,232
1,35,356,22508,22863,3,12
1,35,1,98484,98484,4,75621
1,35,1,104161,104161,5,5677
1,35,1,104890,104890,6,729
1,35,1,105837,105837,7,947
1,35,1,177370,177370,8,71533
1,35,361,177857,178217,9,487
1,35,128,178698,178825,10,481
1,35,1,179081,179081,11,256
1,35,5,182350,182354,12,3269
1,35,362,257046,257407,13,74692
1,35,1,257994,257994,14,587
1,35,849,258360,259208,15,366
1,36,1,21796,21796,1,0
1,36,1,76010,76010,2,54214
1,36,1,76488,76488,3,478
1,36,499,77209,77707,4,721
1,36,135,78080,78214,5,373
1,36,1,79653,79653,6,1439
1,36,1,80249,80249,7,596
1,36,1,82452,82452,8,2203
1,36,127,84033,84159,9,1581
1,36,361,84498,84858,10,339
1,36,362,85715,86076,11,857
1,36,136,86432,86567,12,356
1,36,1,86943,86943,13,376
1,36,1,87529,87529,14,586
1,36,1955,94427,96381,15,6898
1,36,1,99707,99707,16,3326
1,37,1,22387,22387,1,0
1,37,1,22628,22628,2,241
1,37,1,74688,74688,3,52060
1,37,1,75622,75622,4,934
1,37,1,76854,76854,5,1232
1,37,118,76982,77099,6,128
1,37,1,77456,77456,7,357
1,37,135,78080,78214,8,624
1,37,1,82911,82911,9,4697
1,37,1,87877,87877,10,4966
1,37,1,88341,88341,11,464
1,37,1,89971,89971,12,1630
1,37,8,98624,98631,13,8653
1,37,1,103435,103435,14,4804
1,37,123,164062,164184,15,60627
1,37,123,180913,181035,16,16729
1,37,112,181636,181747,17,601
1,37,12,182350,182361,18,603
1,37,1,250586,250586,19,68225
1,37,237,254756,254992,20,4170
1,37,254,255224,255477,21,232
1,37,1,261754,261754,22,6277
1,38,1,90086,90086,1,0
1,38,1,91438,91438,2,1352
1,39,1,22496,22496,1,0
1,39,1,22754,22754,2,258
1,39,119,26758,26876,3,4004
1,39,1,82193,82193,4,55317
1,39,465,89393,89857,5,7200
1,39,369,91070,91438,6,1213
1,39,1,109155,109155,7,17717
1,39,1936,163218,165153,8,54063
1,39,1,190710,190710,9,25557
1,39,479,251064,251542,10,60354
1,39,476,251890,252365,11,348
1,39,369,252841,253209,12,476
1,39,343,253459,253801,13,250
1,40,114,21574,21687,1,0
1,40,242,72555,72796,2,50868
1,40,1,73156,73156,3,360
1,40,470,73402,73871,4,246
1,40,121,74455,74575,5,584
1,40,1,74814,74814,6,239
1,40,1,74943,74943,7,129
1,40,219,75404,75622,8,461
1,40,375,75883,76257,9,261
1,40,126,76725,76850,10,468
1,40,479,77095,77573,11,245
1,40,131,78080,78210,12,507
1,40,1,78449,78449,13,239
1,40,8,78699,78706,14,250
1,40,461,79082,79542,15,376
1,40,111,79885,79995,16,343
1,40,251,80249,80499,17,254
1,40,126,80985,81110,18,486
1,40,1,81244,81244,19,134
1,40,1,81708,81708,20,464
1,40,481,88676,89156,21,6968
1,40,356,89502,89857,22,346
1,40,1,99224,99224,23,9367
1,40,1,100084,100084,24,860
1,40,1,165276,165276,25,65192
1,40,125,182237,182361,26,16961
1,40,1,189747,189747,27,7386
1,40,1,250586,250586,28,60839
1,40,135,255608,255742,29,5022
1,40,123,256931,257053,30,1189
1,40,1918,257407,259324,31,354
1,40,1,259682,259682,32,358
1,40,1077,267159,268235,33,7477
1,41,336,21578,21913,1,0
1,41,1,22268,22268,2,355
1,41,1,22504,22504,3,236
1,41,1,22863,22863,4,359
1,41,8,23740,23747,5,877
1,41,818,24109,24926,6,362
1,41,1,25184,25184,7,258
1,41,239,25552,25790,8,368
1,41,376,26629,27004,9,839
1,41,3376,28096,31471,10,1092
1,41,1070,31710,32779,11,239
1,41,1,33023,33023,12,244
1,41,1,182350,182350,13,149327
2,1,1,77205,77205,1,0
2,1,1,78540,78540,2,1335
2,1,123,84825,84947,3,6285
2,1,1,89731,89731,4,4784
2,1,1,90102,90102,5,371
2,1,112,90967,91078,6,865
2,1,117,91199,91315,7,121
2,1,1,109357,109357,8,18042
2,1,1,180623,180623,9,71266
2,3,1,81373,81373,1,0
2,3,1,87610,87610,2,6237
2,3,1,88842,88842,3,1232
2,3,1,91199,91199,4,2357
2,3,1,91564,91564,5,365
2,3,1,93358,93358,6,1794
2,3,713,93702,94414,7,344
2,3,130,94674,94803,8,260
2,3,1,95399,95399,9,596
2,3,1,110467,110467,10,15068
2,3,242,182074,182315,11,71607
2,3,241,182554,182794,12,239
2,3,124,190809,190932,13,8015
2,3,1,194994,194994,14,4062
2,4,1,89475,89475,1,0
2,4,3,91191,91193,2,1716
2,4,127,91315,91441,3,122
2,4,8,91806,91813,4,365
2,4,1,92642,92642,5,829
2,4,1,111917,111917,6,19275
2,4,1,114288,114288,7,2371
2,4,8,115472,115479,8,1184
2,4,1,173235,173235,9,57756
2,4,1,248533,248533,10,75298
2,5,1,76963,76963,1,0
2,5,1,87991,87991,2,11028
2,5,1,91193,91193,3,3202
2,5,1,96376,96376,4,5183
2,5,607,181357,181963,5,84981
2,5,116,183643,183758,6,1680
2,6,1,77702,77702,1,0
2,6,116,78422,78537,2,720
2,6,133,82056,82188,3,3519
2,6,1,89615,89615,4,7427
2,6,1,92642,92642,5,3027
2,6,111,189159,189269,6,96517
2,6,1,193904,193904,7,4635
2,7,120,76844,76963,1,0
2,7,1,77453,77453,2,490
2,7,8,82056,82063,3,4603
2,7,247,88596,88842,4,6533
2,7,1,91564,91564,5,2722
2,7,1,95399,95399,6,3835
2,7,1,250089,250089,7,154690
2,8,1,81255,81255,1,0
2,8,1,82188,82188,2,933
2,8,122,89981,90102,3,7793
2,8,239,111804,112042,4,21702
2,8,8,183160,183167,5,71118
2,8,1,249133,249133,6,65966
2,9,1,76844,76844,1,0
2,9,348,81255,81602,2,4411
2,9,1,81944,81944,3,342
2,9,1,82188,82188,4,244
2,9,1,87991,87991,5,5803
2,9,1,88357,88357,6,366
2,9,1,93237,93237,7,4880
2,9,124,95399,95522,8,2162
2,9,1,112508,112508,9,16986
2,9,1,115245,115245,10,2737
2,9,233,181242,181474,11,65997
2,9,14,181838,181851,12,364
2,9,1,188782,188782,13,6931
2,10,120,81136,81255,1,0
2,10,1,110810,110810,2,29555
2,10,1,112508,112508,3,1698
2,10,1,115360,115360,4,2852
2,10,1,176495,176495,5,61135
2,10,956,188549,189504,6,12054
2,11,1,95522,95522,1,0
2,11,126,109484,109609,2,13962
2,13,249,77205,77453,1,0
2,13,499,91194,91692,2,13741
2,13,113,91932,92044,3,240
2,13,116,111689,111804,4,19645
2,13,112,112397,112508,5,593
2,14,1,76963,76963,1,0
2,14,1,88842,88842,2,11879
2,14,618,89847,90464,3,1005
2,14,1,90609,90609,4,145
2,14,227,90967,91193,5,358
2,14,1969,109484,111452,6,18291
2,14,1,112625,112625,7,1173
2,14,1321,114040,115360,8,1415
2,14,119,189034,189152,9,73674
2,14,1,249962,249962,10,60810
2,15,125,77453,77577,1,0
2,15,476,77947,78422,2,370
2,15,1,81373,81373,3,2951
2,15,1,85186,85186,4,3813
2,15,1,91191,91191,5,6005
2,15,1,172517,172517,6,81326
2,15,8,176488,176495,7,3971
2,16,1,81255,81255,1,0
2,16,1,111689,111689,2,30434
2,16,1,180748,180748,3,69059
2,16,1,183037,183037,4,2289
2,17,229,80542,80770,1,0
2,17,1,81482,81482,2,712
2,17,1,82688,82688,3,1206
2,17,1,83530,83530,4,842
2,17,8,115472,115479,5,31942
2,17,1,172391,172391,6,56912
2,18,1,182794,182794,1,0
2,18,1,184598,184598,2,1804
2,19,858,76963,77820,1,0
2,19,1,78298,78298,2,478
2,19,1,78540,78540,3,242
2,19,676,79981,80656,4,1441
2,19,1,88842,88842,5,8186
2,19,255,89214,89468,6,372
2,19,1,89854,89854,7,386
2,19,1,109357,109357,8,19503
2,20,1,250201,250201,1,0
2,21,1,180514,180514,1,0
2,21,133,180867,180999,2,353
2,21,1,181845,181845,3,846
2,21,1,182435,182435,4,590
2,21,617,182794,183410,5,359
2,21,1,188182,188182,6,4772
2,21,1,189747,189747,7,1565
2,21,602,190682,191283,8,935
2,21,1,191633,191633,9,350
2,21,1,193904,193904,10,2271
2,22,121,81482,81602,1,0
2,22,1,88842,88842,2,7240
2,22,1,89214,89214,3,372
2,22,1,111917,111917,4,22703
2,22,1,180514,180514,5,68597
2,23,117,79046,79162,1,0
2,23,250,87861,88110,2,8699
2,23,1,89210,89210,3,1100
2,23,1,89981,89981,4,771
2,23,1,90850,90850,5,869
2,23,2547,101798,104344,6,10948
2,23,244,105330,105573,7,986
2,23,1160,105954,107113,8,381
2,23,1303,107474,108776,9,361
2,23,238,111452,111689,10,2676
2,23,124,183520,183643,11,71831
2,23,343,186806,187148,12,3163
2,23,123,188660,188782,13,1512
2,23,1192,195109,196300,14,6327
2,23,120,196545,196664,15,245
2,23,484,196905,197388,16,241
2,23,733,198223,198955,17,835
2,23,237,199801,200037,18,846
2,23,1,200285,200285,19,248
2,23,1,200762,200762,20,477
2,23,127,201130,201256,21,368
2,23,135,201615,201749,22,359
2,23,8,201993,202000,23,244
2,23,1663,202349,204011,24,349
2,23,4760,204266,209025,25,255
2,23,593,245652,246244,26,36627
2,23,588,249009,249596,27,2765
2,23,113,250089,250201,28,493
2,24,230,81373,81602,1,0
2,24,1,89210,89210,2,7608
2,24,1,89468,89468,3,258
2,24,8,89489,89496,4,21
2,24,249,89854,90102,5,358
2,24,495,109484,109978,6,19382
2,24,473,110216,110688,7,238
2,24,385,111068,111452,8,380
2,24,1,112508,112508,9,1056
2,24,249,114040,114288,10,1532
2,24,826,114535,115360,11,247
2,24,1,189034,189034,12,73674
2,25,1,82063,82063,1,0
2,25,497,87861,88357,2,5798
2,25,246,190203,190448,3,101846
2,26,1,81255,81255,1,0
2,26,131,87861,87991,2,6606
2,26,1,88357,88357,3,366
2,26,5,89210,89214,4,853
2,26,122,182673,182794,5,93459
2,27,1,89489,89489,1,0
2,27,4,91191,91194,2,1702
2,27,122,109603,109724,3,18409
2,27,1112,110578,111689,4,854
2,27,114,112625,112738,5,936
2,27,375,114040,114414,6,1302
2,27,112,114781,114892,7,367
2,27,808,115479,116286,8,587
2,27,369,116417,116785,9,131
2,27,347,116914,117260,10,129
2,27,833,117618,118450,11,358
2,27,1,118694,118694,12,244
2,27,731,119784,120514,13,1090
2,27,1176,120870,122045,14,356
2,27,8,183293,183300,15,61248
